Lowest energy data for each cycleCycle	Lowest_Energy_REU
871 	 34.639 
872 	 34.639 
873 	 34.639 
874 	 34.639 
875 	 34.639 
876 	 34.639 
877 	 34.639 
878 	 34.639 
879 	 34.639 
880 	 34.639 
881 	 34.639 
882 	 34.639 
883 	 34.639 
884 	 34.639 
885 	 34.639 
886 	 34.639 
887 	 34.639 
888 	 34.639 
889 	 34.639 
890 	 34.639 
891 	 34.639 
892 	 34.639 
893 	 34.639 
894 	 34.639 
895 	 34.639 
896 	 34.639 
897 	 34.639 
898 	 34.639 
899 	 34.639 
900 	 34.639 
901 	 34.639 
902 	 34.639 
903 	 34.639 
904 	 34.639 
905 	 34.639 
906 	 34.639 
907 	 34.059 
908 	 34.059 
909 	 34.059 
910 	 34.059 
911 	 34.059 
912 	 34.059 
913 	 34.059 
914 	 34.059 
915 	 34.059 
916 	 34.059 
917 	 34.059 
918 	 34.059 
919 	 34.059 
920 	 34.059 
921 	 34.059 
922 	 34.059 
923 	 34.059 
924 	 34.059 
925 	 34.059 
926 	 34.059 
927 	 34.059 
928 	 34.059 
929 	 34.059 
930 	 34.059 
931 	 34.059 
932 	 34.059 
933 	 34.059 
934 	 34.059 
935 	 34.059 
936 	 34.059 
937 	 34.059 
938 	 34.059 
939 	 34.059 
940 	 34.059 
941 	 34.059 
942 	 34.059 
943 	 34.059 
944 	 34.059 
945 	 34.059 
946 	 34.059 
947 	 34.059 
948 	 34.059 
949 	 34.059 
950 	 34.059 
951 	 34.059 
952 	 34.059 
953 	 34.059 
954 	 34.059 
955 	 34.059 
956 	 34.059 
957 	 34.059 
958 	 34.059 
959 	 34.059 
960 	 34.059 
961 	 34.059 
962 	 34.059 
963 	 34.059 
964 	 34.059 
965 	 34.059 
966 	 34.059 
967 	 34.059 
968 	 34.059 
969 	 34.059 
970 	 34.059 
971 	 34.059 
972 	 34.059 
973 	 34.059 
974 	 34.059 
975 	 34.059 
976 	 34.059 
977 	 34.059 
978 	 34.059 
979 	 34.059 
980 	 34.059 
981 	 34.059 
982 	 34.059 
983 	 34.059 
984 	 34.059 
985 	 34.059 
986 	 34.059 
987 	 34.059 
988 	 34.059 
989 	 34.059 
990 	 34.059 
991 	 34.059 
992 	 34.059 
993 	 34.057 
994 	 34.057 
995 	 34.057 
996 	 34.057 
997 	 34.057 
998 	 34.057 
999 	 34.057 
1000 	 34.057 
1001 	 34.057 
1002 	 34.057 
1003 	 34.057 
1004 	 34.057 
1005 	 34.057 
1006 	 34.057 
1007 	 34.057 
1008 	 34.057 
1009 	 34.057 
1010 	 34.057 
1011 	 34.057 
1012 	 34.057 
1013 	 34.057 
1014 	 34.057 
1015 	 34.057 
1016 	 34.057 
1017 	 34.057 
1018 	 34.057 
1019 	 34.057 
1020 	 34.057 
1021 	 34.057 
1022 	 34.057 
1023 	 34.057 
1024 	 34.057 
1025 	 34.057 
1026 	 34.057 
1027 	 34.057 
1028 	 34.057 
1029 	 34.057 
1030 	 34.057 
1031 	 34.057 
1032 	 34.057 
1033 	 34.057 
1034 	 34.057 
1035 	 34.057 
1036 	 34.057 
1037 	 34.057 
1038 	 34.057 
1039 	 34.057 
1040 	 34.057 
1041 	 34.057 
1042 	 34.057 
1043 	 34.057 
1044 	 34.057 
1045 	 34.057 
1046 	 34.057 
1047 	 34.057 
1048 	 34.057 
1049 	 34.057 
1050 	 34.057 
1051 	 34.057 
1052 	 34.057 
1053 	 34.057 
1054 	 34.057 
1055 	 34.057 
1056 	 34.057 
1057 	 34.057 
1058 	 34.057 
1059 	 34.057 
1060 	 34.057 
1061 	 34.057 
1062 	 34.057 
1063 	 34.057 
1064 	 34.057 
1065 	 34.057 
1066 	 34.057 
1067 	 34.057 
1068 	 34.057 
1069 	 34.057 
1070 	 34.057 
1071 	 34.057 
1072 	 34.057 
1073 	 34.057 
1074 	 34.057 
1075 	 34.057 
1076 	 34.057 
1077 	 34.057 
1078 	 34.057 
1079 	 34.057 
1080 	 34.057 
1081 	 34.057 
1082 	 34.057 
1083 	 34.057 
1084 	 34.057 
1085 	 34.057 
1086 	 34.057 
1087 	 34.057 
1088 	 34.057 
1089 	 34.057 
1090 	 34.057 
1091 	 34.057 
1092 	 34.057 
1093 	 34.057 
1094 	 34.057 
1095 	 34.057 
1096 	 34.057 
1097 	 34.057 
1098 	 34.057 
1099 	 34.057 
1100 	 34.057 
1101 	 34.057 
1102 	 34.057 
1103 	 34.057 
1104 	 34.057 
1105 	 34.057 
1106 	 34.057 
1107 	 34.057 
1108 	 34.057 
1109 	 34.057 
1110 	 34.057 
1111 	 34.057 
1112 	 34.057 
1113 	 34.057 
1114 	 34.057 
1115 	 34.057 
1116 	 34.057 
1117 	 34.057 
1118 	 34.057 
1119 	 34.057 
1120 	 34.057 
1121 	 34.057 
1122 	 34.057 
1123 	 34.057 
1124 	 34.057 
1125 	 34.057 
1126 	 34.057 
1127 	 34.057 
1128 	 34.057 
1129 	 34.057 
1130 	 34.057 
1131 	 34.057 
1132 	 34.057 
1133 	 34.057 
1134 	 34.057 
1135 	 34.057 
1136 	 34.057 
1137 	 34.057 
1138 	 34.057 
1139 	 34.057 
1140 	 34.057 
1141 	 34.057 
1142 	 34.057 
1143 	 34.057 
1144 	 34.057 
1145 	 34.057 
1146 	 34.057 
1147 	 34.057 
1148 	 34.057 
